,loss,accuracy,val_loss,val_accuracy
0,2.8534939289093018,0.4218443036079407,0.971761167049408,0.7819198369979858
1,0.9443438649177551,0.7585338950157166,0.6161205172538757,0.8182665705680847
2,0.6120537519454956,0.8326989412307739,0.555605411529541,0.8306151032447815
3,0.4489519000053406,0.8735265135765076,0.5394625067710876,0.8301491141319275
4,0.34484246373176575,0.9010928273200989,0.5432873368263245,0.8350419402122498
5,0.2717328667640686,0.9230722188949585,0.5522542595863342,0.8336439728736877
6,0.2163105309009552,0.9384823441505432,0.6032861471176147,0.8306151032447815
7,0.17656859755516052,0.9501473307609558,0.598831832408905,0.8357409238815308
8,0.14362020790576935,0.9624876976013184,0.6175631284713745,0.8257222771644592
9,0.12214209884405136,0.9673379063606262,0.6491877436637878,0.8329449892044067
10,0.10655219852924347,0.9722495079040527,0.6554599404335022,0.8338769674301147
11,0.09619209915399551,0.9745824933052063,0.6922067403793335,0.8261882662773132
12,0.08504188805818558,0.9776522517204285,0.6909599304199219,0.8301491141319275
