,loss,accuracy,val_loss,val_accuracy
0,2.597461223602295,0.4467927813529968,0.8989353775978088,0.7779571413993835
1,0.8717695474624634,0.771433413028717,0.5980955362319946,0.8189992904663086
2,0.562240719795227,0.8455769419670105,0.5472323894500732,0.8319114446640015
3,0.39464884996414185,0.8908016681671143,0.5514518022537231,0.8300668597221375
4,0.28913414478302,0.9246633648872375,0.5457469820976257,0.8337560296058655
5,0.2058865875005722,0.9467644095420837,0.569471538066864,0.8360617756843567
6,0.15916764736175537,0.9602295160293579,0.5797905921936035,0.8351395130157471
7,0.12317591905593872,0.9681836366653442,0.6030749678611755,0.8321420550346375
8,0.10320363938808441,0.9748309850692749,0.6431976556777954,0.8284528255462646
9,0.08145050704479218,0.9807397127151489,0.6432703137397766,0.8346783518791199
10,0.07304049283266068,0.9820464849472046,0.7017928957939148,0.8208438754081726
