,loss,accuracy,val_loss,val_accuracy
0,2.55989670753479,0.4597770869731903,0.8244323134422302,0.8008349537849426
1,0.819115161895752,0.7862854599952698,0.5380511283874512,0.8330059051513672
2,0.5175848007202148,0.8586140275001526,0.5010800361633301,0.8443025350570679
3,0.35246825218200684,0.9058032631874084,0.4860701262950897,0.8484774231910706
4,0.25161880254745483,0.9331233501434326,0.4861684739589691,0.8470039367675781
5,0.19105412065982819,0.9486309885978699,0.500758945941925,0.8416011929512024
6,0.14777302742004395,0.9634116888046265,0.539532482624054,0.8344793915748596
7,0.12435024976730347,0.9675914645195007,0.5546406507492065,0.841846764087677
8,0.10356578975915909,0.9734068512916565,0.5824535489082336,0.8327603340148926
9,0.09369353950023651,0.9780712127685547,0.5975779891014099,0.8349705338478088
